Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
RNGR,Dac RangeR,Dutch Aeroplane Company VOF,Netherlands,Landplane,_unknown_,Piston,1,Light,,?,,
ROAR,Velocity Rocket Racer,Velocity Inc,United States,Landplane,General Aviation,Rocket,1,Light,,?,,
ROND,Ambrosini F-4 Rondone,SAI Ambrosini,Italy,Landplane,General Aviation,Piston,1,Light,3,1951,,20
ROSE,Maupin Windrose,Jim Maupin,United States,Landplane,Motor-Glider,Piston,1,Light,1,1983,,14
RP1,Mitsubishi RP-1,Mitsubishi Heavy Industries,Japan,Helicopter,Helicopter,Turboprop,2,Light,,1994,1994,1
RPUP,Little Wing LW-4 Roto-Pup,Little Wing Autogyros Inc,United States,Gyrocopter,General Aviation,Piston,1,Light,,?,,
RS12,Rans S-12 Airaile,Rans Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1990,,1 112
RS18,Sportavia-Putzer RS-180 Sportsman,Sportavia-P&uuml;tzer GmbH u.Co.KG,Germany,Landplane,General Aviation,Piston,1,Light,4,1978,,18
RTA4,RTAF-4 Chandra,Royal Thai Air Force,Thailand,Landplane,_unknown_,Piston,1,Light,,?,,
RUBI,Scintex ML-250 Rubis,Scintex-Aviation SA,France,Landplane,General Aviation,Piston,1,Light,4,1962,,8
RV10,Van&#039;s RV-10,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,4,2003,,742
RV12,Van&#039;s RV-12,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,2006,,355
RV14,Van&#039;s RV-14,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,2012,,2
RV3,Van&#039;s RV-3,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,1,1971,,281
RV4,Van&#039;s RV-4,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1979,,1 372
RV4T,Van&#039;s RV-4T,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Turboprop,1,Light,2,?,,
RV6,Van&#039;s RV-6,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1986,,2 539
RV7,Van&#039;s RV-7,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,2001,,1 394
RV8,Van&#039;s RV-8,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1995,,1 272
RV9,Van&#039;s RV-9,Van&#039;s Aircraft Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1997,,935
RVAL,Denel AH-2 Rooivalk,Denel Aviation,South Africa,Helicopter,Military Helicopter,Turboprop,2,Medium,2,1990,,12
RW19,Ragwing RW-19 Stork,RagWing Aircraft Designs,United States,Landplane,General Aviation,Piston,1,Light,2,1997,,9
RW20,Ragwing RW-20 Stork Side by Side,RagWing Aircraft Designs,United States,Landplane,General Aviation,Piston,1,Light,2,?,,
RW22,Ragwing RW-22 Tiger Moth,RagWing Aircraft Designs,United States,Landplane,General Aviation,Piston,1,Light,2,1999,1999,1
RW26,Ragwing RW-26 Special 2,RagWing Aircraft Designs,United States,Landplane,General Aviation,Piston,1,Light,2,?,,2
RW3,Rhein-West-Flug RW-3 Multoplane,Rhein-West-Flug Fischer und Companie,Germany,Landplane,General Aviation,Piston,1,Light,2,1955,,27
RYST,Ryan ST-A,Ryan Aeronautical Company,United States,Landplane,Military Trainer,Piston,1,Light,2,1934,?,1 568
S05F,SIAI-Marchetti S-205-18F,SIAI-Marchetti,Italy,Landplane,Military Trainer,Piston,1,Light,4,1965,,620
S05R,SIAI-Marchetti S-205-18R,SIAI-Marchetti,Italy,Landplane,Military Trainer,Piston,1,Light,4,?,,
S1,Arctic S-1 Arctic Tern,Arctic Aircraft Company,United States,Landplane,General Aviation,Piston,1,Light,2,1975,1985,32
S10,Stinson 10 Voyager,Stinson Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,3,1939,?,1 052
S107,Spratt Model 107,George G.Spratt,United States,Seaplane,General Aviation,Piston,1,Light,2,1967,,
S108,Stinson 108,Stinson Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,4,1946,1950,
S10S,Stemme S-10 Chrysalis,Stemme Gmbh &amp; Co KG,Germany,Landplane,_unknown_,Piston,1,Light,,?,,
S11,Fokker S-11 Instructor,Fokker,Netherlands,Landplane,Military Trainer,Piston,1,Light,2,1947,?,425
S12,Spencer S-12 Air Car,Spencer Amphibian Aircraft Inc,United States,Amphibian,General Aviation,Piston,1,Light,4,1941,?,50
S200,Sipa S-200 Minijet,Soci&eacute;t&eacute; Industrielle pour l&#039;A&eacute;ronautique,France,Landplane,General Aviation,Jet,1,Light,2,1952,,7
S202,SGAU S-202,Samarsky Gosudartvennyi Aerokosmitsesky Universitet,Russian Federation,Amphibian,_unknown_,Piston,2,Light,,?,,
S208,SIAI-Marchetti S-208,SIAI-Marchetti,Italy,Landplane,Military Trainer,Piston,1,Light,4,1965,,
S21,MacDonald S-21,MacDonald Aircraft Company,United States,Landplane,General Aviation,Piston,1,Light,1,1972,,
S210,Sud Aviation SE 210 Caravelle,Sud Aviation,France,Landplane,Passenger Airliner,Jet,2,Medium,80,1955,?,282
S211,SIAI-Marchetti S-211,SIAI-Marchetti,Italy,Landplane,Military Trainer,Jet,1,Light,2,1981,1994,60
S223,MBB 223 Flamingo,Messerschmitt-B&ouml;lkow-Blohm (MBB),Germany,Landplane,General Aviation,Piston,1,Light,2,1967,,
S22T,Cirrus SR-22 Turbo,Cirrus Aircraft,United States,Landplane,General Aviation,Piston,1,Light,4,2006,,
