Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
___,_undefined,_undefined,_unknown_,_unknown_,_unknown_,_unknown_,?,,,,,
___B,_ undefined Balloon,_undefined,_unknown_,Balloon,Balloon,No engine,0,Light,,,,
___G,_ undefined Glider,_undefined,_unknown_,Landplane,Glider,No engine,0,Light,,,,
___H,_ undefined Helicopter,_undefined,_unknown_,Helicopter,Helicopter,_unknown_,?,,,,,
___I,_ undefined Paraglider,_undefined,_unknown_,Landplane,General Aviation,_unknown_,?,,,,,
___M,_ undefined Motoglider,_undefined,_unknown_,Landplane,Motor-Glider,Piston,1,Light,,,,
___P,_ undefined Piston,_undefined,_unknown_,Landplane,General Aviation,Piston,?,,,,,
___U,_ undefined Ultralight,_undefined,_unknown_,Landplane,Ultralight,Piston,1,Light,,,,
___Y,_ undefined Gyro,_undefined,_unknown_,Gyrocopter,General Aviation,Piston,1,Light,,,,
__A109S,AgustaWestland AW109S Grand,AgustaWestland,Italy,Helicopter,Helicopter,Turboprop,2,Light,8,2005,,
__A17,Northrop A-17,Northrop Corporation,United States,Landplane,Other military,Piston,1,Light,2,1935,?,446
__A2,Douglas A2D Skyshark,Douglas Aircraft Company,United States,Landplane,Other military,Turboprop,2,Medium,1,1950,?,12
__A249,Leonardo Helicopters AW249,Leonardo Helicopters,Italy,Helicopter,Military Helicopter,Turboprop,2,Light,2,?,,
__A320,Airbus A320 family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,2,Medium,199,1987,,8 605
__A330,Airbus A330 family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,2,Heavy,335,1992,,1 439
__A33MRT,Airbus A330 MRTT,Airbus SAS,_unknown_,Landplane,Military Refueler,Jet,2,Heavy,3,2007,,29
__A340,Airbus A340 family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,4,Heavy,419,1991,2011,380
__A350,Airbus A350 XWB family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,2,Heavy,387,2013,,240
__A5,North American A-5 Vigilante,North American Aviation,United States,Landplane,Bomber,Jet,2,,2,1958,1970,156
__A5M,Mitsubishi A5M,Mitsubishi Heavy Industries,Japan,Landplane,Fighter,Piston,1,Light,1,1935,1945,1 094
__A650,Armstrong Whitworth AW 650 Argosy,Sir W.G.Armstrong Whitworth Aircraft,United Kingdom,Landplane,Passenger Airliner,Turboprop,4,Medium,89,1959,?,74
__A8,Curtiss A-8 Shrike,Curtiss-Wright Corporation,United States,Landplane,Other military,Piston,1,Light,2,1931,?,13
__AA2,American Aviation AA-2 Patriot,American Aviation Corporation,United States,Landplane,General Aviation,Piston,1,Light,4,1970,,2
__AACA,Advanced Aeromarine Carrera,Advanced Aeromarine,United States,Landplane,Ultralight,Piston,1,Light,2,?,,
__AACO,Advanced Aviation Cobra,Advanced Aviation Inc,United States,Landplane,Ultralight,Piston,1,Light,1,?,,
__AADE,American Aerolights Double Eagle,American Aerolights,United States,Landplane,Ultralight,Piston,1,Light,2,1982,,
__AAEA,American Aerolights Eagle,American Aerolights,United States,Landplane,Ultralight,Piston,1,Light,1,1975,,
__AAHU,Advanced Aviation Husky,Advanced Aviation Inc,United States,Landplane,Ultralight,Piston,1,Light,1,1978,,
__AAPE,Aero Adventure Pegasus,Aero Adventure Inc,United States,Landplane,Ultralight,Piston,1,Light,2,?,,
__AASI,Advanced Aeromarine Sierran,Advanced Aeromarine,United States,Landplane,Glider,No engine,0,Light,1,1991,1991,1
__AB21,Aero Boero AB-210,Aero Boero SA,Argentina,Landplane,General Aviation,Piston,1,Light,4,1971,,2
__AB26AG,Aero Boero AB-260AG,Aero Boero SA,Argentina,Landplane,Agricultural,Piston,1,Light,1,1972,,
__AC100,Avro Canada CF-100 Canuck,Avro Aircraft Limited (Canada),Canada,Landplane,Fighter,Jet,2,Medium,2,1950,?,692
__AC105,Avro Canada CF-105 Arrow,Avro Aircraft Limited (Canada),Canada,Landplane,Fighter,Jet,2,Medium,2,1958,1959,5
__AC130,Lockheed AC-130,Lockheed Corporation,United States,Landplane,Other military,Turboprop,4,Medium,13,1966,,47
__AC35,Autogiro Company of America AC-35,Autogiro Company of America,United States,Gyrocopter,General Aviation,Piston,1,Light,2,1936,1936,1
__AC4,Aviastroitel AC-4 Russia,AviaStroitel Ltd,Russian Federation,Landplane,Glider,No engine,0,Light,1,1993,,60
__AC47,Douglas AC-47 Spooky,Douglas Aircraft Company,United States,Landplane,Other military,Piston,2,,8,1965,?,53
__AC6,Aviastroitel AC-6,AviaStroitel Ltd,Russian Federation,Landplane,Glider,No engine,0,Light,1,?,,
__AC7,Aviastroitel AC-7,AviaStroitel Ltd,Russian Federation,Landplane,Glider,No engine,0,Light,2,?,,
__AC7M,Aviastroitel AC-7M,AviaStroitel Ltd,Russian Federation,Landplane,Motor-Glider,Piston,1,Light,2,2005,,2
__ACBA,Ace Baby Ace,Ace Aircraft Manufacturing Inc,United States,Landplane,General Aviation,Piston,1,Light,1,1929,?,453
__ACGT,Air Creation GT,Air Creation,France,Landplane,Ultralight,Piston,1,Light,2,?,,
__ACH149,AgustaWestland CH-149 Cormorant,AgustaWestland,Italy,Helicopter,Helicopter,Turboprop,3,Medium,20,2000,,
__ACJ,Airbus Corporate Jet,Airbus SAS,_unknown_,Landplane,Business Jet,Jet,2,Heavy,,?,,
__ACPI,Acro-Sport Pober Pixie,Acro Sport Inc,United States,Landplane,General Aviation,Piston,1,Light,1,1974,,
__ACPIX,Air Creation Pixel,Air Creation,France,Landplane,Ultralight,Piston,1,Light,1,?,,
__ACR,Air Creation Racer,Air Creation,France,Landplane,Ultralight,Piston,1,Light,1,1985,2010,
__ACSKY,Air Creation Skypper,Air Creation,France,Landplane,Ultralight,Piston,1,Light,2,2011,,
__ACTA,Air Creation Tanarg,Air Creation,France,Landplane,Ultralight,Piston,1,Light,1,?,,
__ACTR,Air Creation Twin,Air Creation,France,Landplane,Ultralight,Piston,1,Light,2,?,,
__ACTRE,Air Creation Trek,Air Creation,France,Landplane,Ultralight,Piston,1,Light,2,?,,
__ACVZ9,Avro Canada VZ-9 Avrocar,Avro Aircraft Limited (Canada),Canada,Landplane,Other military,Jet,3,Light,2,1959,1959,2
__ADFB,AD Flying Boat,Pemberton-Billing Ltd,United Kingdom,Seaplane,Reconnaissance,Piston,1,Light,2,1916,?,27
__ADIBB,ADI Bumble Bee,Aircraft Designs Inc,United States,Gyrocopter,General Aviation,Piston,1,Light,1,1983,,
__ADICO,ADI Condor,Aircraft Designs Inc,United States,Landplane,General Aviation,Piston,1,Light,2,1981,1981,1
__ADSC,AD Scout,Hewlett &amp; Blondeau,United Kingdom,Landplane,Fighter,Piston,1,Light,1,1915,?,4
__ADST1,AD Seaplane Type 1000,J. Samuel White,United Kingdom,Landplane,Bomber,Piston,3,Light,5,1916,?,2
__AE01,Aero Ae 01,Aero Vodochody,Czech Republic,Landplane,Military Trainer,Piston,1,Light,2,1919,1919,1
__AE02,Aero Ae 02,Aero Vodochody,Czech Republic,Landplane,Fighter,Piston,1,Light,1,1920,1920,1
__AE03,Aero Ae 03,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,1,1921,1921,1
__AE04,Aero Ae 04,Aero Vodochody,Czech Republic,Landplane,Fighter,Piston,1,Light,1,1921,1921,1
__AE10,Aero A.10,Aero Vodochody,Czech Republic,Landplane,Passenger Airliner,Piston,1,Light,6,1922,?,5
__AE100,Aero A.100,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,1933,1935,44
__AE101,Aero A.101,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,1,Light,2,?,,50
__AE102,Aero A.102,Aero Vodochody,Czech Republic,Landplane,Fighter,Piston,1,Light,1,1934,?,
__AE104,Aero A.104,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,1937,1937,2
__AE11,Aero A.11,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,1,Light,2,1925,?,250
__AE12,Aero A.12,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,1,Light,2,?,,
__AE14,Aero A.14,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,?,,
__AE16,Aeronca L-16,Aeronca Aircraft,United States,Landplane,General Aviation,Piston,1,Light,2,1946,1950,609
__AE17,Aero A.17,Aero Vodochody,Czech Republic,Gyrocopter,Reconnaissance,No engine,0,Light,1,1922,1922,
__AE18,Aero A.18,Aero Vodochody,Czech Republic,Landplane,Fighter,Piston,1,Light,1,1923,?,20
__AE200,Aero A.200,Aero Vodochody,Czech Republic,Landplane,General Aviation,Piston,1,Light,4,1934,?,2
__AE204,Aero A.204,Aero Vodochody,Czech Republic,Landplane,Passenger Airliner,Piston,2,Light,10,1936,?,
__AE21,Aero A.21,Aero Vodochody,Czech Republic,Landplane,Military Trainer,Piston,1,Light,2,?,,
__AE22,Aero A.22,Aero Vodochody,Czech Republic,Landplane,General Aviation,Piston,1,Light,3,?,,
__AE23,Aero A.23,Aero Vodochody,Czech Republic,Landplane,Passenger Airliner,Piston,1,Light,8,1926,?,7
__AE24,Aero A.24,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,2,Light,3,?,?,1
__AE25,Aero A.25,Aero Vodochody,Czech Republic,Landplane,Military Trainer,Piston,1,Light,2,?,?,
__AE26,Aero A.26,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,1923,?,
__AE29,Aero A.29,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,1927,?,9
__AE30,Aero A.30,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,?,?,195
__AE300,Aero A.300,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,2,Light,3,1938,?,
__AE304,Aero A.304,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,2,Light,3,1937,?,19
__AE32,Aero A.32,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,1927,?,116
__AE34,Aero A.34,Aero Vodochody,Czech Republic,Landplane,General Aviation,Piston,1,Light,2,1929,?,
__AE38,Aero A.38,Aero Vodochody,Czech Republic,Landplane,Passenger Airliner,Piston,1,Light,10,?,?,
__AE42,Aero A.42,Aero Vodochody,Czech Republic,Landplane,Bomber,Piston,1,Light,3,1929,?,2
__AE46,Aero A.46,Aero Vodochody,Czech Republic,Landplane,Military Trainer,Piston,1,Light,2,1931,1931,1
__AE50,Aero Ae-50,Aero Vodochody,Czech Republic,Landplane,Reconnaissance,Piston,1,Light,2,1949,1963,1
__AE8,Aero A.8,Aero Vodochody,Czech Republic,Landplane,Passenger Airliner,Piston,1,Light,5,1921,1921,1
__AEA129,American Eagle A-129,American Eagle Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,3,1929,?,400
__AEAC12,Aerot&eacute;cnica AC-12,Aerot&eacute;cnica,Spain,Helicopter,Helicopter,Piston,1,Light,2,1956,?,12
__AEAC14,Aerot&eacute;cnica AC-14,Aerot&eacute;cnica,Spain,Helicopter,Helicopter,Piston,1,Light,5,1957,?,
__AEB,Aerostar International Balloons (all models),Aerostar International Inc,United States,Balloon,Balloon,No engine,0,,,?,,
__AEE31,American Eagle Eaglet 31,American Eagle Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,2,1930,?,93
__AEGB1,AEG B.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1914,?,
__AEGB2,AEG B.II,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1914,?,
__AEGB3,AEG B.III,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1915,?,
__AEGC1,AEG C.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1915,1915,
__AEGC2,AEG C.II,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1915,?,
__AEGC3,AEG C.III,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,?,?,
__AEGC4,AEG C.IV,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1916,?,687
__AEGC5,AEG C.V,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1916,1916,1
__AEGC6,AEG C.VI,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1916,1916,1
__AEGC7,AEG C.VII,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1916,?,2
__AEGC8,AEG C.VIII,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,2,1917,?,2
__AEGD1,AEG D.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Fighter,Piston,1,Light,1,1917,?,3
__AEGDJ1,AEG DJ.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Fighter,Piston,1,Light,1,1918,?,
__AEGDR1,AEG Dr.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Fighter,Piston,1,Light,1,?,?,1
__AEGG1,AEG G.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,2,Light,3,1915,1915,1
__AEGG2,AEG G.II,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,2,Light,4,1915,?,20
__AEGG3,AEG G.III,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,2,Light,4,1915,?,
__AEGG4,AEG G.IV,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,2,Light,3,1916,?,320
__AEGG5,AEG G.V,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,2,Light,3,1918,?,
__AEGJ1,AEG J.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Fighter,Piston,1,Light,2,1917,1918,609
__AEGN1,AEG N.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,1,Light,2,?,?,37
__AEGPE,AEG PE,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Fighter,Piston,1,Light,1,1918,1918,1
__AEGR1,AEG R.I,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Bomber,Piston,4,Medium,,1916,1916,1
__AEGWE,AEG Wagner Eule,Allgemeine Elektricit&auml;ts-Gesellschaft (AEG),Germany,Landplane,Reconnaissance,Piston,1,Light,,1915,?,2
__AEHC2,Aero HC-2 Heli Baby,Aero Vodochody,Czech Republic,Helicopter,Helicopter,Piston,1,Light,2,1954,1962,23
__AEKA,Varga K&aacute;pl&aacute;r,Aero Ever Kft,Hungary,Landplane,Military Trainer,Piston,1,Light,2,1940,?,
__AEPL,Aerocar Aero-Plane,Aerocar Inc,United States,Landplane,General Aviation,Piston,1,Light,4,1964,1964,1
__AFAR,Aerfer Ariete,Aerfer,Italy,Landplane,Fighter,Jet,2,,1,1958,?,2
__AFK1,Armstrong Whitworth F.K.1 Sissit,Sir W.G.Armstrong Whitworth Aircraft,United Kingdom,Landplane,Reconnaissance,Piston,1,Light,1,1914,1914,1
__AFK8,Armstrong Whitworth F.K.8,Sir W.G.Armstrong Whitworth Aircraft,United Kingdom,Landplane,Other military,Piston,1,Light,2,1916,?,1 650
__AFS2,Aerfer Saggitario 2,Aerfer,Italy,Landplane,Fighter,Jet,1,,1,1956,?,2
__AG600,AVIC AG600,China Aviation Industry General Aircraft (CAIGA),China,Amphibian,General Aviation,Turboprop,4,Medium,50,2017,,1
__AGA101,Agusta A.101,Agusta,Italy,Helicopter,Helicopter,Turboprop,3,Light,36,1964,1964,1
__AGA103,Agusta A.103,Agusta,Italy,Helicopter,Helicopter,Piston,1,Light,1,1959,1959,1
__AGA104,Agusta A.104,Agusta,Italy,Helicopter,Helicopter,Piston,1,Light,2,1960,?,3
__AGA105,Agusta A.105,Agusta,Italy,Helicopter,Helicopter,Turboprop,1,Light,2,1964,?,2
__AGA106,Agusta A.106,Agusta,Italy,Helicopter,Military Helicopter,Turboprop,1,Light,1,1965,?,2
__AGA115,Agusta A.115,Agusta,Italy,Helicopter,Helicopter,Turboprop,1,Light,4,1961,1961,1
__AGAO92,AGO Ao 192 Kurier,AGO Flugzeugwerke,France,Landplane,General Aviation,Piston,2,Light,2,1935,?,6
__AGAZ8,Agusta AZ.8L,Agusta,Italy,Landplane,Passenger Airliner,Piston,4,Medium,26,1958,1958,1
__AGC1,AGO C.I,AGO Flugzeugwerke,France,Landplane,Reconnaissance,Piston,1,Light,2,1915,?,
__AGC2,AGO C.II,AGO Flugzeugwerke,France,Landplane,Reconnaissance,Piston,1,Light,2,1915,?,15
__AGC4,AGO C.III,AGO Flugzeugwerke,France,Landplane,Reconnaissance,Piston,1,Light,2,?,?,
__AGC7,AGO C.VII,AGO Flugzeugwerke,France,Landplane,Reconnaissance,Piston,1,Light,2,1916,?,70
__AGC8,AGO C.VIII,AGO Flugzeugwerke,France,Landplane,Reconnaissance,Piston,1,Light,2,1916,1916,1
__AGCP11,Agusta CP-110,Agusta,Italy,Landplane,General Aviation,Piston,1,Light,4,1951,1951,1
__AGDV3,AGO DV.3,AGO Flugzeugwerke,France,Landplane,Fighter,Piston,1,Light,1,1915,1915,1
__AGEC,AutoGyro eCavalon,AutoGyro GmbH,Germany,Landplane,Ultralight,Electric,1,Light,2,2013,,
__AGS1,AGO S.I,AGO Flugzeugwerke,France,Landplane,Fighter,Piston,1,Light,1,1918,1918,2
__AH6,Boeing AH-6,The Boeing Company,United States,Helicopter,Military Helicopter,Turboprop,1,Light,5,2004,,
__AI50,Airship Industries Skyship 500,Airship Industries,United Kingdom,Balloon,Balloon,Piston,2,Light,10,1981,1990,6
__AI60,Airship Industries Skyship 600,Airship Industries,United Kingdom,Balloon,Balloon,Piston,2,Light,14,1984,,10
__AIAB2,Aichi AB-2,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,2,1930,?,2
__AIAB3,Aichi AB-3,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,1,1932,1932,1
__AIAB4,Aichi AB-4,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,3,1932,?,6
__AIAB6,Aichi AB-6,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,3,1933,1933,1
__AIB7A,Aichi B7A Ryusei,Aichi Kokuki,Japan,Landplane,Bomber,Piston,1,Light,2,1942,1945,114
__AID1A,Aichi D1A,Aichi Kokuki,Japan,Landplane,Bomber,Piston,1,Light,2,1934,?,590
__AIE10A,Aichi E10A,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,3,1934,?,15
__AIE11A,Aichi E11A,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,3,1937,?,17
__AIE16A,Aichi E16A Zuiun,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,2,1942,1945,256
__AIE8A,Aichi E8A,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,2,1933,?,2
__AIF1A,Aichi F1A,Aichi Kokuki,Japan,Seaplane,Reconnaissance,Piston,1,Light,2,1936,?,2
__AIH9A,Aichi H9A,Aichi Kokuki,Japan,Seaplane,Military Trainer,Piston,2,Light,5,1940,?,31
__AIM6A,Aichi M6A Seiran,Aichi Kokuki,Japan,Seaplane,Bomber,Piston,1,Light,2,1943,1945,29
__AIS1A,Aichi S1A Denko,Aichi Kokuki,Japan,Landplane,Fighter,Piston,2,Light,2,?,?,2
__AISAGN,Aisa GN,Aeronautica Industrial SA,Spain,Gyrocopter,General Aviation,Piston,1,Light,4,1982,1982,1
__AKAB1,Akaflieg Berlin B1 Charlotte,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,1,1922,?,
__AKAB12,Akaflieg Berlin B12,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,2,1977,1977,1
__AKAB2,Akaflieg Berlin B2 Teufelchen,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,1,1923,?,
__AKAB3,Akaflieg Berlin B3 Charlotte II,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,1,1923,?,
__AKAB4,Akaflieg Berlin B4 F.F,Akademische Fliegergruppe Berlin eV,Germany,Landplane,General Aviation,Piston,1,Light,1,1931,?,
__AKAB5,Akaflieg Berlin B5,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,1,1937,?,
__AKAB6,Akaflieg Berlin B6,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,1,1938,?,
__AKAB8,Akaflieg Berlin B6,Akademische Fliegergruppe Berlin eV,Germany,Landplane,Glider,No engine,0,Light,1,1939,?,
__AKAB9,Akaflieg Berlin B9,Akademische Fliegergruppe Berlin eV,Germany,Landplane,General Aviation,Piston,2,Light,1,1943,1943,1
__AKAD1,Akaflieg Darmstadt D-1,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1920,1920,1
__AKAD10,Akaflieg Darmstadt D-10 Hessen,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1923,1923,1
__AKAD11,Akaflieg Darmstadt D-11 Mohamed,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1924,1924,1
__AKAD12,Akaflieg Darmstadt D-12 Roemryke Berge,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1924,1924,1
__AKAD13,Akaflieg Darmstadt D-13 Mohamed II,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Motor-Glider,Piston,1,Light,1,1926,1926,1
__AKAD14,Akaflieg Darmstadt D-14,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,General Aviation,Piston,1,Light,2,1927,1927,1
__AKAD15,Akaflieg Darmstadt D-15 Westpreussen,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1926,1926,1
__AKAD16,Akaflieg Darmstadt D-16,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,General Aviation,Piston,1,Light,2,1927,1927,1
__AKAD17,Akaflieg Darmstadt D-17 Darmstadt,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1927,1927,1
__AKAD18,Akaflieg Darmstadt D-18,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,General Aviation,Piston,1,Light,2,1929,1929,1
__AKAD19,Akaflieg Darmstadt D-19 Darmstadt II,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1928,1928,1
__AKAD2,Akaflieg Darmstadt D-2 Pumpelmeise,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1920,1920,1
__AKAD20,Akaflieg Darmstadt D-20 Starkenburg,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1929,1929,1
__AKAD22,Akaflieg Darmstadt D-22,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,General Aviation,Piston,1,Light,2,1931,?,2
__AKAD28,Akaflieg Darmstadt D-28 Windspiel,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1932,1932,1
__AKAD29,Akaflieg Darmstadt D-29,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,General Aviation,Piston,1,Light,2,1936,1936,1
__AKAD3,Akaflieg Darmstadt D-3 Nolleputzchen,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1921,1921,1
__AKAD30,Akaflieg Darmstadt D-30 Cirrus,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1938,1938,1
__AKAD33,Akaflieg Darmstadt D-33,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1944,1944,1
__AKAD34,Akaflieg Darmstadt D-34,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1955,1961,4
__AKAD36,Akaflieg Darmstadt D-36 Circe,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1964,?,2
__AKAD37,Akaflieg Darmstadt D-37 Artemis,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1967,1967,1
__AKAD38,Akaflieg Darmstadt D-38,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1972,1972,1
__AKAD4,Akaflieg Darmstadt D-4 Edith,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1922,1922,1
__AKAD40,Akaflieg Darmstadt D-40,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1986,1986,1
__AKAD41,Akaflieg Darmstadt D-41,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1993,1993,1
__AKAD5,Akaflieg Darmstadt D-5 Flohschwanz,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1922,1922,1
__AKAD6,Akaflieg Darmstadt D-6 Geheimrat,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1922,1922,1
__AKAD7,Akaflieg Darmstadt D-7 Margarete,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,2,1923,1923,1
__AKAD8,Akaflieg Darmstadt D-8,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Motor-Glider,Piston,1,Light,1,1923,1923,1
__AKAD9,Akaflieg Darmstadt D-9 Konsul,Akademische Fliegergruppe Darmstadt eV,Germany,Landplane,Glider,No engine,0,Light,1,1923,,
__AKSU,Airkraft Sunny,Airkraft Gmbh Leichtflugzeugbau ,Switzerland,Landplane,Ultralight,Piston,1,Light,2,?,,250
__AL100,Albatros L 100,Albatros Flugzeugwerke,Germany,Landplane,General Aviation,Piston,1,Light,3,1930,1930,1
__AL101,Albatros AI 101,Albatros Flugzeugwerke,Germany,Landplane,Military Trainer,Piston,1,Light,2,1930,?,71
__AL102,Albatros AI 102,Albatros Flugzeugwerke,Germany,Landplane,Military Trainer,Piston,1,Light,2,1932,?,10
__AL103,Albatros AI 103,Albatros Flugzeugwerke,Germany,Landplane,Military Trainer,Piston,1,Light,2,1933,1933,1
__AL53,Lualdi-Tassotti ES 53,Aer Lualdi &amp; C SpA,Italy,Helicopter,Helicopter,Piston,1,Light,1,1953,1953,1
__AL55,Aer Lualdi L.55,Aer Lualdi &amp; C SpA,Italy,Helicopter,Helicopter,Piston,1,Light,1,?,,1
__AL57,Aer Lualdi L.57,Aer Lualdi &amp; C SpA,Italy,Helicopter,Helicopter,Piston,1,Light,1,?,,1
